DC_NOME;SG_ESTADO;CD_SITUACAO;VL_LATITUDE;VL_LONGITUDE;VL_ALTITUDE;DT_INICIO_OPERACAO;CD_ESTACAO
RIO URUBU;AM;Operante;-2,6336111;-59,60055555;112,84;25/06/2008;A125
RIO VERDE;GO;Operante;-17,78527777;-50,965;780,11;16/05/2007;A025
RONDON DO PARA;PA;Operante;-4,82749999;-48,1736111;203;16/04/2008;A214
RONDONOPOLIS;MT;Operante;-16,4625;-54,58027777;289,88;16/11/2003;A907
ROSARIO OESTE;MT;Operante;-14,82888888;-56,44194444;195;29/05/2019;A944
S, G. DA CACHOEIRA;AM;Operante;-0,125207;-67,061246;79,67;30/08/2011;A134
S,J. DO RIO CLARO;MT;Operante;-13,45388888;-56,67722221;339,59;24/02/2003;A903
SACRAMENTO;MG;Operante;-19,87527777;-47,43416666;913,12;18/08/2006;A525
SALGUEIRO;PE;Operante;-8,05805555;-39,0961111;447;14/09/2017;A370
SALINAS;MG;Operante;-16,16027777;-42,31027777;487,14;13/09/2007;A552
SALINOPOLIS;PA;Operante;-0,61888888;-47,35666666;23,18;13/06/2008;A215
SALTO DO CEU;MT;Operante;-15,12472221;-58,12722221;300,83;23/01/2008;A936
SALVADOR;BA;Operante;-13,005515;-38,50576;47,56;12/05/2000;A401
SALVADOR (RADIO FAROL);BA;Operante;-12,80833333;-38,49583333;31;09/03/2018;A456
SANTA CRUZ;RN;Pane;-6,22805554;-36,02666666;227,49;16/08/2010;A367
SANTA FE DO ARAGUAIA;TO;Operante;-7,124191;-48,781267;171;29/07/2016;A048
SANTA MARIA;RS;Operante;-29,72499999;-53,72055554;103,1;25/11/2001;A803
SANTA MARIA DAS BARREIRAS;PA;Operante;-8,72972221;-49,85638888;165;17/12/2020;A256
SANTA MARIA MADALENA;RJ;Operante;-21,95055555;-42,01027777;517;15/10/2018;A630
SANTA RITA DE CASSIA;BA;Operante;-11,00277777;-44,52499999;450,01;27/05/2007;A415
SANTA ROSA;RS;Operante;-27,89055555;-54,47999999;272,84;14/11/2006;A810
SANTA ROSA DO TOCANTINS;TO;Operante;-11,42888888;-48,18499999;306;13/08/2015;A052
SANTA TERESA;ES;Operante;-19,988388;-40,579572;975,92;08/08/2007;A613
SANTANA DO ARAGUAIA;PA;Operante;-9,3386111;-50,35027777;176,75;29/05/2008;A233
SANTANA DO LIVRAMENTO;RS;Operante;-30,75055555;-55,40138888;196;21/11/2001;A804
SANTAREM;PA;Pane;-2,5025;-54,72027777;137;01/09/2015;A250
SANTIAGO;RS;Operante;-29,191599;-54,885653;390,03;03/02/2009;A833
SANTO ANTONIO DO LESTE;MT;Operante;-14,92777777;-53,8836111;664,21;29/05/2008;A931
SANTO AUGUSTO;RS;Operante;-27,854345;-53,791179;489,67;04/12/2001;A805
SAO BORJA;RS;Operante;-28,65;-56,01638888;81,08;20/07/2007;A830
SAO CARLOS;SP;Operante;-21,980353;-47,883927;859,29;03/09/2006;A711
SAO FELIX  DO ARAGUAIA;MT;Pane;-11,61888888;-50,72777777;201,37;18/10/2007;A921
SAO FELIX DO XINGU;PA;Operante;-6,63972221;-51,95694444;211;14/11/2016;A216
SAO GABRIEL;RS;Operante;-30,341438;-54,310909;114,89;10/07/2007;A832
SAO GABRIEL DO OESTE;MS;Pane;-19,42027777;-54,55305555;646;17/12/2006;A732
SAO GONCALO;PB;Operante;-6,835777;-38,311583;237,04;05/11/2007;A333
SAO JOAO DEL REI;MG;Operante;-21,106502;-44,250928;929,88;08/06/2006;A514
SAO JOAO DO PIAUI;PI;Pane;-8,36444444;-42,2525;231;25/08/2007;A331
SAO JOAQUIM;SC;Operante;-28,27564;-49,934617;1400,06;11/04/2008;A815
SAO JOSE DO XINGU;MT;Pane;-10,48416666;-52,37249999;300;18/02/2019;A942
